0022301179,1610612749,Milwaukee Bucks,107.0,123.8,-16.8,0.643,1.42,19.7,100.0,0.559,0.59
0022301181,1610612742,Dallas Mavericks,89.0,107.0,-18.0,0.556,1.0,15.6,100.0,0.482,0.504
0022301181,1610612765,Detroit Pistons,107.0,89.0,18.0,0.5,3.29,17.8,100.0,0.526,0.541
0022301178,1610612750,Minnesota Timberwolves,105.8,105.0,0.9,0.763,2.07,21.5,103.0,0.544,0.594
0022301178,1610612737,Atlanta Hawks,105.0,105.8,-0.9,0.575,1.53,16.5,101.0,0.494,0.525
0022301183,1610612757,Portland Trail Blazers,109.2,118.4,-9.2,0.541,2.86,14.8,98.0,0.453,0.496
0022301183,1610612745,Houston Rockets,118.4,109.2,9.2,0.568,2.78,18.5,98.0,0.538,0.575
0022301174,1610612739,Cleveland Cavaliers,126.5,116.5,10.0,0.56,2.55,19.4,102.0,0.595,0.614
0022301174,1610612754,Indiana Pacers,116.5,126.5,-10.0,0.804,2.64,24.7,103.0,0.567,0.608
0022301177,1610612763,Memphis Grizzlies,118.8,119.4,-0.6,0.442,1.27,13.7,101.0,0.542,0.576
0022301177,1610612747,Los Angeles Lakers,119.4,118.8,0.6,0.595,1.32,17.9,103.0,0.599,0.641
0022301176,1610612748,Miami Heat,127.6,106.2,21.4,0.822,5.29,26.4,98.0,0.622,0.65
0022301176,1610612761,Toronto Raptors,106.2,127.6,-21.4,0.622,1.35,18.2,97.0,0.545,0.594
0022301173,1610612738,Boston Celtics,129.7,98.0,31.7,0.63,5.67,22.7,101.0,0.587,0.597
0022301173,1610612766,Charlotte Hornets,98.0,129.7,-31.7,0.625,1.0,15.9,100.0,0.52,0.572
0022301185,1610612758,Sacramento Kings,113.8,114.9,-1.1,0.65,3.71,20.0,94.0,0.516,0.551
0022301185,1610612756,Phoenix Suns,114.9,113.8,1.1,0.625,1.32,19.6,94.0,0.605,0.647
0022301184,1610612746,LA Clippers,112.4,112.2,0.1,0.535,1.77,16.4,97.0,0.5,0.522
0022301184,1610612762,Utah Jazz,112.2,112.4,-0.1,0.634,1.44,18.2,98.0,0.5,0.556
0022301182,1610612744,Golden State Warriors,107.9,111.8,-3.8,0.675,1.69,19.5,101.0,0.541,0.572
0022301182,1610612740,New Orleans Pelicans,111.8,107.9,3.8,0.571,2.67,18.5,102.0,0.578,0.587
0022301166,1610612765,Detroit Pistons,107.1,130.9,-23.8,0.711,1.35,20.1,98.0,0.584,0.603
0022301166,1610612741,Chicago Bulls,130.9,107.1,23.8,0.549,3.11,20.1,97.0,0.604,0.619
0022301167,1610612738,Boston Celtics,113.5,121.6,-8.1,0.625,2.08,19.2,96.0,0.558,0.586
0022301167,1610612752,New York Knicks,121.6,113.5,8.1,0.49,1.6,16.9,97.0,0.566,0.571
0022301170,1610612758,Sacramento Kings,123.0,132.4,-9.4,0.565,1.86,19.6,100.0,0.643,0.663
0022301170,1610612740,New Orleans Pelicans,132.4,123.0,9.4,0.714,2.69,24.7,102.0,0.698,0.719
0022301168,1610612762,Utah Jazz,129.2,126.0,3.1,0.614,1.69,19.0,96.0,0.586,0.627
0022301168,1610612745,Houston Rockets,126.0,129.2,-3.1,0.55,2.2,16.1,96.0,0.532,0.578
0022301169,1610612757,Portland Trail Blazers,101.1,108.7,-7.6,0.629,1.69,15.8,91.0,0.402,0.44
0022301169,1610612744,Golden State Warriors,108.7,101.1,7.6,0.667,1.5,19.1,92.0,0.545,0.583
0022301163,1610612760,Oklahoma City Thunder,111.4,78.1,33.3,0.702,2.75,21.3,114.0,0.545,0.576
